rank,name,global_name,units,delta_vs_last_month,link,price,image_url,manufacturer,manufacturer_ja
36,宝马X5,宝马X5,5885,8.0,https://www.autohome.com.cn/6548,61.50-83.00万,/autohome_images/036_宝马X5.png,宝马,BMW
37,汉兰达,汉兰达,5669,-6.0,https://www.autohome.com.cn/771,24.98-32.58万,/autohome_images/037_汉兰达.png,丰田,トヨタ
38,沃尔沃XC60,沃尔沃XC60,5640,-3.0,https://www.autohome.com.cn/3411,39.69-47.49万,/autohome_images/038_沃尔沃XC60.png,沃尔沃,沃尔沃
39,格瑞维亚,格瑞维亚,5373,-3.0,https://www.autohome.com.cn/6672,29.98-41.68万,/autohome_images/039_格瑞维亚.png,丰田,トヨタ
40,英仕派,英仕派,5158,2.0,https://www.autohome.com.cn/4809,18.28-21.38万,/autohome_images/040_英仕派.png,本田,ホンダ
41,君越,君越,4918,,https://www.autohome.com.cn/834,20.99-23.99万,/autohome_images/041_君越.png,别克,别克
42,皇冠陆放,皇冠陆放,4822,-2.0,https://www.autohome.com.cn/6030,28.48-33.28万,/autohome_images/042_皇冠陆放.png,丰田,トヨタ
43,捷达VS5,捷达VS5,4438,,https://www.autohome.com.cn/5138,8.79-12.19万,/autohome_images/043_捷达VS5.png,捷达,捷达
44,凯迪拉克XT5,凯迪拉克XT5,4359,10.0,https://www.autohome.com.cn/3989,37.99-45.99万,/autohome_images/044_凯迪拉克XT5.png,凯迪拉克,凯迪拉克
45,别克GL8,别克GL8,4260,1.0,https://www.autohome.com.cn/166,19.99-36.99万,/autohome_images/045_别克GL8.png,别克,别克
46,奥迪A5L,奥迪A5L,4120,28.0,https://www.autohome.com.cn/7855,25.58-30.98万,/autohome_images/046_奥迪A5L.png,奥迪,アウディ
47,思域,思域,4035,3.0,https://www.autohome.com.cn/135,12.99-18.79万,/autohome_images/047_思域.png,本田,ホンダ
48,宝马X1,宝马X1,3801,,https://www.autohome.com.cn/2561,28.89-34.99万,/autohome_images/048_宝马X1.png,宝马,BMW
49,奇骏,奇骏,3726,3.0,https://www.autohome.com.cn/656,16.08-26.29万,/autohome_images/049_奇骏.png,日产,日産
50,蒙迪欧,蒙迪欧,3623,-13.0,https://www.autohome.com.cn/117,14.98-22.98万,/autohome_images/050_蒙迪欧.png,福特,福特
51,天籁,天籁,3563,-4.0,https://www.autohome.com.cn/634,17.98-23.98万,/autohome_images/051_天籁.png,日产,日産
52,凌渡,凌渡,3561,23.0,https://www.autohome.com.cn/3457,15.09-19.59万,/autohome_images/052_凌渡.png,大众,フォルクスワーゲン
53,T-ROC探歌,T-ROC探歌,3435,-8.0,https://www.autohome.com.cn/4674,15.89-17.87万,/autohome_images/053_T-ROC探歌.png,大众,フォルクスワーゲン
54,马自达EZ-60,马自达EZ-60,3317,,https://www.autohome.com.cn/7717,11.99-16.09万,/autohome_images/054_马自达EZ-60.png,马自达,マツダ
55,途昂,途昂,3206,,https://www.autohome.com.cn/4232,28.90-35.99万,/autohome_images/055_途昂.png,大众,フォルクスワーゲン
56,奥迪A5L Sportback,奥迪A5L Sportback,3150,23.0,https://www.autohome.com.cn/7817,27.99-39.99万,/autohome_images/056_奥迪A5L_Sportback.png,奥迪,アウディ
